category_eng,subcategory_eng,flavor_eng,subflavor_eng,synonym_eng,category_kor,subcategory_kor,flavor_kor,subflavor_kor,synonym_kor
fruit,citrus fruit,white grapefruit,,,과일,시트러스,화이트 자몽,,
fruit,citrus fruit,citric,,,과일,시트러스,시트릭,,
fruit,citrus fruit,loquat,,,과일,시트러스,비파,,
fruit,citrus fruit,mandarin,,,과일,시트러스,만다린,,
fruit,citrus fruit,tangerine,,,과일,시트러스,탠저린,,
fruit,citrus fruit,bergamot,,,과일,시트러스,베르가못,,
fruit,citrus fruit,kumquat,,,과일,시트러스,금귤,,
fruit,citrus fruit,orange,orange marmalade,,과일,시트러스,오렌지,오렌지 마멀레이드,
fruit,citrus fruit,yuzu,,,과일,시트러스,유자,,
fruit,dried fruit,golden raisin,,,과일,말린 과일,골든 레이즌,,
fruit,dried fruit,raisin,,,과일,말린 과일,건포도,,
fruit,dried fruit,dried fig,,,과일,말린 과일,말린 무화과,,
fruit,dried fruit,dried date,,,과일,말린 과일,말린 대추,,
fruit,dried fruit,prune,,,과일,말린 과일,말린 자두,,
fruit,dried fruit,cascara,,,과일,말린 과일,카스카라,,
fruit,dried fruit,dried apricot,,,과일,말린 과일,말린 살구,,
fruit,dried fruit,dried fruit,,,과일,말린 과일,말린 과일,,
fruit,dried fruit,dried plum,,,과일,말린 과일,말린 자두,,
fruit,dried fruit,fig,,,과일,말린 과일,무화과,,
fruit,fruit,pickled fruit,,,과일,과일,절인 과일,,
fruit,fruit,fruit candy,,,과일,과일,과일 사탕,,
fruit,fruit,fruit tea,,,과일,과일,과일 차,,
fruit,fruit,fruit cocktail,,,과일,과일,칵테일 프룻,,
fruit,fruit,marmalade,,,과일,과일,마멀레이드,,
fruit,fruit,purple fruit,,,과일,과일,보라색 과일,,
fruit,fruit,red fruit,,,과일,과일,빨간 과일,,
fruit,fruit,yellow fruit,,,과일,과일,노란 과일,,
fruit,grape,red grape,,,과일,포도,적포도,,
fruit,grape,concord grape,,,과일,포도,콩코드 포도,,
fruit,grape,red wine,,,과일,포도,레드 와인,,
fruit,grape,grape jelly,,,과일,포도,포도 젤리,,
fruit,grape,campbell grape,,,과일,포도,캠벨 포도,,
fruit,grape,green grape,champagne,,과일,포도,청포도,샴페인,
fruit,grape,green grape,muscat,,과일,포도,청포도,머스캣,
fruit,grape,green grape,shine muscat,,과일,포도,청포도,샤인 머스캣,
fruit,grape,green grape,white wine,,과일,포도,청포도,화이트 와인,
fruit,grape,green grape,white grape,,과일,포도,청포도,백포도,
fruit,grape,delaware grape,,,과일,포도,델라웨어 포도,,
fruit,grape,kyoho grape,,,과일,포도,거봉,,
fruit,melon,watermelon,,,과일,멜론,수박,,
fruit,melon,honeydew,,,과일,멜론,허니듀,,
fruit,melon,cantaloupe,,,과일,멜론,칸탈로프,,
fruit,melon,melon milk,,,과일,멜론,멜론 우유,,
fruit,stone fruit,peach,nectarine,,과일,핵과류,복숭아,천도복숭아,
fruit,stone fruit,peach,peach juice,,과일,핵과류,복숭아,복숭아 주스,
fruit,stone fruit,peach,peach iced tea,,과일,핵과류,복숭아,복숭아 아이스티,
fruit,stone fruit,peach,white peach,,과일,핵과류,복숭아,백도,
fruit,stone fruit,peach,apricot,,과일,핵과류,복숭아,살구,
fruit,stone fruit,peach,apricot jam,,과일,핵과류,복숭아,살구 잼,
fruit,stone fruit,peach,peach tea,,과일,핵과류,복숭아,복숭아 티,
fruit,stone fruit,peach,yellow peach,,과일,핵과류,복숭아,황도,
fruit,stone fruit,peach,peach jam,,과일,핵과류,복숭아,복숭아 잼,
fruit,stone fruit,plum,plum juice,,과일,핵과류,자두,자두 주스,
fruit,stone fruit,plum,plum jelly,,과일,핵과류,자두,자두 젤리,
fruit,stone fruit,cherry,black cherry,,과일,핵과류,체리,블랙 체리,
fruit,stone fruit,cherry,maraschino cherry,,과일,핵과류,체리,마라스키노 체리,
fruit,stone fruit,cherry,acerola,,과일,핵과류,체리,아세로라,
